JLCPCB BOM Tool - BOM Matching,,,,,,,,,,,,,,,,,,,,,
BOM name:bom-JLCPCB Assembly Order.xlsx,,,,Download Time:2026-08-21 19:15:24,,,,"* Our matching results are updated in real-time, but stock and prices may change. 
If it's been over 24 hours, please re-match before placing your order.",,,,,,,,,,,,,
PCB Assembled Qty:2,,,,"Est. Total Price:23.5544
(Pre-order parts require a quotation for final pricing.)",,,,,,,,,,,,,,,,,
Your BOM,,,,Matched Parts,,,,,,,Order Information,,,,,,,,,,
Designator,Comment,Footprint,JLCPCB Part #,Matches,Part # ,Manufacturer,Footprint,Description,Category,Warning,JLCPCB Part #,Product link,Source,Lib Type,MOQ,Availability,My Parts(JLCPCB Parts),My Parts(Global sourcing & consigned parts),Rec. Order Qty,Unit Price ($),Total Price ($)
"R4,R5,R6",470,1210,,Select by System,RC1210JR-07470RL,YAGEO,1210,-55?~+155? 200V 470? 500mW Thick Film Resistor ±100ppm/? ±5% 1210 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,,C137072,https://jlcpcb.com/partdetail/YAGEO-RC1210JR07470RL/C137072,In-stock,Extended,1,4148,0,0,16,"0,0173","0,2768"
D3,BLUE,1206,,Unconfirmed,XL-3216UBC,XINGLIGHT,1206,-40?~+85? 120° 20mA 264mcd 3.4V 460nm~475nm 465nm 70mW Blue Discrete Diode Top-mount Water Clear 1206 LED Indication - Discrete ROHS,LED Indication - Discrete,1.The comment (XL-3216UBC) of this part does not match the one (BLUE) provided in your BOM. Please confirm;,C965827,https://jlcpcb.com/partdetail/XINGLIGHT-XL3216UBC/C965827,In-stock,Extended,1,214751,0,0,20,"0,0101","0,202"
"R10,R9",1k,1210,,Unconfirmed,1210W2J0102T5E,UNI-ROYAL(Uniroyal Elec),1210,-55?~+155? 1k? 200V 500mW Thick Film Resistor ±100ppm/? ±5% 1210 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (1210W2J0102T5E) of this part does not match the one (1k) provided in your BOM. Please confirm;,C270888,https://jlcpcb.com/partdetail/260268-1210W2J0102T5E/C270888,In-stock,Extended,1,46379,0,0,15,"0,02","0,3"
"C1,C2,C3,C7,C8,C9",100n,1210,,Unconfirmed,1210B104K501CT,Walsin Tech Corp,1210,100nF 500V X7R ±10% 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,1.The comment (1210B104K501CT) of this part does not match the one (100n) provided in your BOM. Please confirm;,C304008,https://jlcpcb.com/partdetail/Walsin_TechCorp-1210B104K501CT/C304008,In-stock,Extended,1,28329,0,0,16,"0,1588","2,5408"
"R7,R8",4.7k,1210,,Unconfirmed,FRC1210F4701TS,FOJAN,1210,-55?~+155? 200V 4.7k? 500mW Thick Film Resistor ±1% ±100ppm/? 1210 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (FRC1210F4701TS) of this part does not match the one (4.7k) provided in your BOM. Please confirm;,C2930443,https://jlcpcb.com/partdetail/FOJAN-FRC1210F4701TS/C2930443,In-stock,Extended,1,58696,0,0,15,"0,0118","0,177"
D2,GREEN,1206,,Unconfirmed,XL-3216UGC-FB,XINGLIGHT,1206,-40?~+85? 120° 20mA 3.4V 515nm~535nm 525nm 70mW 900mcd Discrete Diode Emerald Green Reverse Mount Water Clear 1206 LED Indication - Discrete ROHS,LED Indication - Discrete,1.The comment (XL-3216UGC-FB) of this part does not match the one (GREEN) provided in your BOM. Please confirm;,C3646937,https://jlcpcb.com/partdetail/XINGLIGHT-XL_3216UGCFB/C3646937,In-stock,Extended,1,428094,0,0,15,"0,01","0,15"
Q1,2N3904,TO-92_Inline_Wide_EBC,,Select by System,2N3904,JSMSEMI,TO-92_Inline_Wide_EBC,-55?~+150? 1 NPN 200mA 300 300MHz 300mV 40V 50nA 625mW 6V NPN TO-92 Bipolar (BJT) ROHS,Bipolar (BJT),,C2874602,https://jlcpcb.com/partdetail/JSMSEMI-2N3904/C2874602,In-stock,Extended,1,59164,0,0,4,"0,0121","0,0484"
"J2,J3",3.5mm,ScrewTerminal_1x02_P3.5mm_Horizontal_Black,,Select by System,ST-1157-3.5(H=3.5mm),RI SHENG,ScrewTerminal_1x02_P3.5mm_Horizontal_Black,"-25?~+85? 100,000 cycles 12V 3.5mm 50mA 6.5mm 8.3mm No Round Button SMD(SMT) Tab SPST Surface Mount,Vertical Without Bracket SMD Tactile Switches ROHS",Tactile Switches,,C5349422,https://jlcpcb.com/partdetail/RISHENG-ST_1157_3_5_H_3_5mm/C5349422,In-stock,Extended,1,822,0,0,5,"0,0384","0,192"
D4,SMAJ5.0A,D_SMA,,Select by System,SMAJ5.0A,GOODWORK,D_SMA,-55?~+150? 400W 43.5A 5V 6.4V 800uA 9.2V TVS Unidirectional DO-214AC(SMA) ESD and Surge Protection (TVS/ESD) ROHS,ESD and Surge Protection (TVS/ESD),,C908757,https://jlcpcb.com/partdetail/GOODWORK-SMAJ50A/C908757,In-stock,Extended,1,211937,0,0,10,"0,0325","0,325"
X1,16MHz,Crystal_SMD_2012-2Pin_2.0x1.2mm_HandSoldering,,Select by System,NX2520SA-16MHZ-STD-CSW-5,NDK,Crystal_SMD_2012-2Pin_2.0x1.2mm_HandSoldering,-40?~+85? 16MHz 80? 8pF ±15ppm ±25ppm SMD2520-4P Crystals ROHS,Crystals,,C280836,https://jlcpcb.com/partdetail/NDK-NX2520SA_16MHZ_STD_CSW5/C280836,In-stock,Extended,1,1844,0,0,5,"0,4285","2,1425"
R3,10k,1210,,Unconfirmed,1210W2F1002T5E,UNI-ROYAL(Uniroyal Elec),1210,-55?~+155? 10k? 200V 500mW Thick Film Resistor ±1% ±100ppm/? 1210 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (1210W2F1002T5E) of this part does not match the one (10k) provided in your BOM. Please confirm;,C422430,https://jlcpcb.com/partdetail/415380-1210W2F1002T5E/C422430,In-stock,Extended,1,3219,0,0,15,"0,0118","0,177"
"C4,C6",22p,1210,,Unconfirmed,FM32N220J501EMG,PSA(Prosperity Dielectrics),1210,22pF 500V C0G ±5% 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,1.The comment (FM32N220J501EMG) of this part does not match the one (22p) provided in your BOM. Please confirm;,C22376465,https://jlcpcb.com/partdetail/23893366-FM32N220J501EMG/C22376465,In-stock,Extended,1,576,0,0,6,"0,1323","0,7938"
"R1,R2",5.1K,1210,,Unconfirmed,FRC1210J512 TS,FOJAN,1210,-55?~+155? 200V 5.1k? 500mW Thick Film Resistor ±100ppm/? ±5% 1210 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (FRC1210J512 TS) of this part does not match the one (5.1K) provided in your BOM. Please confirm;,C2933867,https://jlcpcb.com/partdetail/FOJAN-FRC1210J512TS/C2933867,In-stock,Extended,1,5851,0,0,15,"0,0102","0,153"
D1,RED,1206,,Unconfirmed,XL-3216SURC-FB,XINGLIGHT,1206,-40?~+85? 120mcd 120° 2.3V 20mA 50mW 620nm 620nm~625nm Discrete Diode Red Reverse Mount Water Clear 1206 LED Indication - Discrete ROHS,LED Indication - Discrete,1.The comment (XL-3216SURC-FB) of this part does not match the one (RED) provided in your BOM. Please confirm;,C3646938,https://jlcpcb.com/partdetail/XINGLIGHT-XL_3216SURCFB/C3646938,In-stock,Extended,1,720024,0,0,15,"0,0105","0,1575"
